account;followers_count;verified
Atlanta Hawks;1221344;True
Boston Celtics;3378607;True
Brooklyn Nets;946691;True
Charlotte Hornets;918453;True
Chicago Bulls;4059894;True
Cleveland Cavaliers;3218540;True
Dallas Mavericks;1548794;True
Denver Nuggets;861281;True
Detroit Pistons;885943;True
Golden State Warriors;5993363;True
Houston Rockets;2787314;True
Indiana Pacers;1178793;True
Los Angeles Clippers;1410048;True
Los Angeles Lakers;7549069;True
Memphis Grizzlies;994024;True
Miami Heat;4613083;True
Milwaukee Bucks;1001306;True
Minnesota Timberwolves;916151;True
New Orleans Pelicans;899080;True
New York Knicks;2098684;True
Oklahoma City Thunder;2699296;True
Orlando Magic;1478906;True
Philadelphia 76ers;1681898;True
Phoenix Suns;1036091;True
Portland Trail Blazers;1176818;True
Sacramento Kings;1028132;True
San Antonio Spurs;3400760;True
Toronto Raptors;1779992;True
Utah Jazz;901936;True
Washington Wizards;921214;True
Stephen Curry;13249883;True
Russell Westbrook;5987859;True
Chris Paul;7743887;True
Blake Griffin;4459399;True
Gordon Hayward;639439;True
Kyle Lowry;800208;True
Paul George;2075606;True
Mike Conley;491650;True
James Harden;6219095;True
Kevin Durant;17481805;True
Paul Millsap;66241;True
Al Horford;335402;True
Damian Lillard;1594192;True
DeMar DeRozan;639998;True
Otto Porter Jr.;96;False
Jrue Holiday;136319;True
CJ McCollum;280590;True
Joel Embiid;1613957;True
Andrew Wiggins;516228;True
Bradley Beal;401508;True
Anthony Davis;13322;True
Hassan Whiteside;190773;True
Nikola Jokic;3441;False
Steven Adams;1740;True
Giannis Antetokounmpo;631234;True
Marc Gasol;1215869;True
Kevin Love;3184233;True
Chandler Parsons;315786;True
Harrison Barnes;625485;True
Nicolas Batum;1024070;True
Rudy Gobert;371516;True
Kawhi Leonard;230302;True
DeAndre Jordan;1158254;True
LaMarcus Aldridge;763398;True
Serge Ibaka;844529;True
Aaron Gordon;149375;True
Danilo Gallinari;715534;True
Victor Oladipo;282528;True
Jimmy Butler;570733;True
Ryan Anderson;4617;True
Kyrie Irving;4308536;True
Jabari Parker;302059;True
Zach LaVine;289188;True
Tyler Johnson;23094;True
Tim Hardaway Jr.;140694;True
John Wall;1878426;True
Jeff Teague;85617;True
George Hill;245462;True
Klay Thompson;1252019;True
Allen Crabbe;34103;True
Goran Dragic;344267;True
Kent Bazemore;57334;True
Evan Turner;198214;True
Draymond Green;1289529;True
Tristan Thompson;666917;True
Reggie Jackson;110614;True
Bismack Biyombo;53581;True
Evan Fournier;172714;True
Derrick Favors;140100;True
Jonas Valanciunas;182893;True
Gary Harris;59785;True
Timofey Mozgov;223;False
Andre Iguodala;1314710;True
Ian Mahinmi;46045;True
Dennis Schroder;116;False
DeMarre Carroll;88013;True
Clint Capela;71495;True
Gorgui Dieng;57655;True
Trevor Ariza;76797;True
Eric Bledsoe;235140;True
Ricky Rubio;2969226;True
Tobias Harris;142029;True
JR Smith;712007;True
Luke Babbitt;157;False
James Johnson;24750;True
Brandon Knight;224688;True
Robin Lopez;140891;True
Marvin Williams;7987;True
Taj Gibson;346045;True
Thaddeus Young;58204;True
Marcin Gortat;148516;True
Cody Zeller;148495;True
Eric Gordon;216829;True
Joe Ingles;146778;True
Michael Kidd-Gilchrist;331483;True
Khris Middleton;39485;True
Mason Plumlee;86470;True
Wilson Chandler;153925;True
Nikola Vucevic;75015;True
Kelly Olynyk;82100;True
Nikola Mirotic;201739;True
Miles Plumlee;609;False
Tyreke Evans;190884;True
Courtney Lee;70480;True
Solomon Hill;27862;True
JJ Redick;154451;True
Kemba Walker;373140;True
Avery Bradley;2920;False
Kentavious Caldwell-Pope;66935;True
Will Barton;42881;True
T.J. Warren;43421;True
Zach Randolph;191610;True
Marcus Smart;197186;True
Patty Mills;406998;True
Dion Waiters;123144;True
Alec Burks;56977;True
John Henson;119717;True
Omer Asik;44863;True
Jusuf Nurkic;64524;True
Iman Shumpert;683880;True
Maurice Harkless;44353;True
Tony Snell;2082;False
Meyers Leonard;112479;True
Terrence Ross;194175;True
Bojan Bogdanovic;13755;True
Robert Covington;81694;True
Rudy Gay;1268094;True
Jon Leuer;24792;True
